STORE NAME#@LICENSE ID#@ACCOUNT NUMBER#@SQUARE FEET#@BUFFER SIZE#@ADDRESS#@ZIP CODE#@COMMUNITY AREA NAME#@COMMUNITY AREA#@WARD#@CENSUS TRACT#@CENSUS BLOCK#@X COORDINATE#@Y COORDINATE#@LATITUDE#@LONGITUDE#@LOCATION
200 LIQUORS#@48663#@17055#@5000#@B#@204 E 47TH ST#@60653#@GRAND BOULEVARD#@38#@3#@17031381500#@170313815001007#@1178461.63440489#@1873949.3843109#@41.8094238941#@-87.620951802#@(41.8094238941, -87.6209518020)"
3600 COMMISSARY#@24279#@9830#@3800#@B#@3600 N LAKE SHORE DR#@60613#@LAKE VIEW#@6#@46#@17031060900#@170310609004001#@1171865.81875038#@1924645.03821318#@41.9486836744#@-87.6436497585#@(41.9486836744, -87.6436497585)"
4343 PETES FRESH MARKET#@1336669#@260303#@57000#@A#@4343 S PULASKI RD#@60632#@ARCHER HEIGHTS#@57#@14#@17031570100#@170315701001015#@1150447.92576086#@1875370.28554347#@41.8139143113#@-87.7236649419#@(41.8139143113, -87.7236649419)"
4700 PETE'S FRESH MARKET#@1243125#@245519#@45000#@A#@4700 S KEDZIE AVE#@60632#@BRIGHTON PARK#@58#@14#@17031842800#@170318428004023#@1155791.94930247#@1873270.77848287#@41.8080472717#@-87.7041188223#@(41.8080472717, -87.7041188223)"
5659 W. DIVERSEY#@1575023#@277375#@4000#@B#@5659 W DIVERSEY AVE#@60639#@BELMONT CRAGIN#@19#@30#@17031190602#@170311906022001#@1137914.08103042#@1918001.65398074#@41.9311354035#@-87.7686121306#@(41.9311354035, -87.7686121306)"
7400 S HALSTED FOOD AND LIQUORS,INC.""#@980#@186#@10001#@A#@7400 S HALSTED ST#@60621#@ENGLEWOOD#@68#@17#@17031681300#@170316813003005#@1172208.80986048#@1855768.91654326#@41.7596745819#@-87.6444202389"
79 FOOD BASKET#@1958784#@341069#@3000#@B#@1351 W 79TH ST#@60620#@AUBURN GRESHAM#@71#@21#@17031710700#@170317107001012#@1168478.93809964#@1852330.81460643#@41.7503211206#@-87.6581890529#@(41.7503211206, -87.6581890529)"
AARAY GROCERY#@1900#@62541#@10001#@A#@2601 N HALSTED ST#@60614#@LINCOLN PARK#@7#@43#@17031070200#@170310702001009#@1170536.07056506#@1917537.59576082#@41.929209817#@-87.648746265#@(41.9292098170, -87.6487462650)"
A & B FOOD MARKET INC#@43181#@6483#@10001#@A#@5057 W DIVISION ST#@60651#@AUSTIN#@25#@37#@17031251100#@170312511004000#@1142184.04324719#@1907473.37999805#@41.9021664421#@-87.7531823487#@(41.9021664421, -87.7531823487)"
ADA FOODS#@50473#@56673#@4500#@B#@1281 W 71ST ST#@60636#@WEST ENGLEWOOD#@67#@17#@17031671800#@170316718001000#@1168677.67928806#@1857642.99939821#@41.7648941814#@-87.6573078048#@(41.7648941814, -87.6573078048)"
ADAMS FOOD MART#@1817376#@316090#@2500#@B#@559 N LARAMIE AVE#@60644#@AUSTIN#@25#@28#@17031251600#@170312516003011#@1141632.2601337#@1903412.65190045#@41.8910335471#@-87.7553096457#@(41.8910335471, -87.7553096457)"
A & G LIQUORS#@44373#@35423#@4800#@B#@6945 S STATE ST#@60637#@GREATER GRAND CROSSING#@69#@6#@17031690400#@170316904003005#@1177546.71515743#@1858784.7080415#@41.7678312792#@-87.6247659397#@(41.7678312792, -87.6247659397)"
AL BAYAN GROCERY INC.#@1542202#@282078#@2500#@B#@3134 N NARRAGANSETT AVE#@60634#@BELMONT CRAGIN#@19#@36#@17031831500#@170318315001015#@1133152.97043701#@1920313.7029264#@41.9375646502#@-87.7860543686#@(41.9375646502, -87.7860543686)"
ALDI#@1959623#@5273#@15680#@A#@6221 N BROADWAY#@60660#@EDGEWATER#@77#@49#@17031030103#@170310301031003#@1167209.18388362#@1941564.02319156#@41.9952114602#@-87.6602779929#@(41.9952114602, -87.6602779929)"
ALDI#@1922075#@5273#@16615#@A#@6621 S COTTAGE GROVE AVE#@60637#@WOODLAWN#@42#@5#@17031420800#@170314208002008#@1182742.13928611#@1861187.5499171#@41.7743058812#@-87.6056480253#@(41.7743058812, -87.6056480253)"
ALDI #28#@1519765#@5273#@15154#@A#@4934 S KEDZIE AVE#@60632#@BRIGHTON PARK#@58#@14#@17031630300#@170316303002000#@1155840.36465178#@1871594.26301148#@41.8034457131#@-87.7039862718#@(41.8034457131, -87.7039862718)"
ALDI #30#@1547427#@5273#@15154#@A#@3030 S KEDZIE AVE#@60623#@SOUTH LAWNDALE#@30#@12#@17031840800#@170318408002012#@1155473.09821197#@1884225.25342296#@41.8381141517#@-87.7049944648#@(41.8381141517, -87.7049944648)"
ALDI #32#@1975885#@5273#@16924#@A#@1840 N CLYBOURN AVE#@60614#@LINCOLN PARK#@7#@32#@17031832600#@170318326002019#@1168978.24436791#@1912136.7918219#@41.9144237141#@-87.654627843#@(41.9144237141, -87.6546278430)"
ALDI #70#@1997726#@5273#@18263#@A#@7627 S ASHLAND AVE#@60620#@AUBURN GRESHAM#@71#@17#@17031710300#@170317103001013#@1167042.61770873#@1854021.32283746#@41.7549909175#@-87.6634041558#@(41.7549909175, -87.6634041558)"
ALDI #79#@1515471#@5273#@15150#@A#@7800 S SOUTH CHICAGO AVE#@60619#@AVALON PARK#@45#@5#@17031834300#@170318343002003#@1187754.15541874#@1853373.51793887#@41.7527456405#@-87.5875234853#@(41.7527456405, -87.5875234853)"
ALDI FOODS #91#@13994#@5273#@15565#@A#@3835 W MADISON ST#@60624#@WEST GARFIELD PARK#@26#@28#@17031260800#@170312608001000#@1150675.92099303#@1899694.80960072#@41.8806594115#@-87.7221936689#@(41.8806594115, -87.7221936689)"
ALDI FOODS -STORE #04#@13988#@5273#@12500#@A#@800 N KEDZIE AVE#@60651#@HUMBOLDT PARK#@23#@27#@17031836600#@170318366001013#@1154853.93641042#@1905175.1424146#@41.8956153135#@-87.7067053251#@(41.8956153135, -87.7067053251)"
ALDI FOODS STORE #2#@14004#@5273#@15600#@A#@4645 W DIVERSEY AVE#@60639#@HERMOSA#@20#@31#@17031190900#@170311909001000#@1144687.3239847#@1918165.88033316#@41.9314609382#@-87.743717307#@(41.9314609382, -87.7437173070)"
ALDI FOODS STORE #26#@13998#@5273#@15540#@A#@2600 N CLYBOURN AVE#@60614#@LINCOLN PARK#@7#@32#@17031070700#@170310707002008#@1163612.48626872#@1917295.73166597#@41.9286950012#@-87.6741950831#@(41.9286950012, -87.6741950831)"
ALDI FOODS-STORE #27#@13986#@5273#@12300#@A#@3363 N MILWAUKEE AVE#@60641#@IRVING PARK#@16#@30#@17031161300#@170311613002008#@1148660.97684323#@1922173.95142456#@41.9423835134#@-87.7290108595#@(41.9423835134, -87.7290108595)"
